img_filename,bedrooms,bathrooms,sqft_living,price
prop_0.jpg,4,1,1125,123267
prop_1.jpg,5,3,1859,202745
prop_2.jpg,3,2,3967,944945
prop_3.jpg,5,1,1715,277164
prop_4.jpg,5,1,4020,655626
prop_5.jpg,2,1,916,251484
prop_6.jpg,3,3,2143,651831
prop_7.jpg,3,2,3105,1012323
prop_8.jpg,3,1,3424,1229268
prop_9.jpg,5,1,1969,1388732
prop_10.jpg,4,1,4344,1392568
prop_11.jpg,3,3,3465,636771
prop_12.jpg,5,3,1960,950857
prop_13.jpg,2,2,3227,683044
prop_14.jpg,4,3,4320,663176
prop_15.jpg,2,1,1201,811095
prop_16.jpg,4,2,1506,953727
prop_17.jpg,5,1,4070,1154978
prop_18.jpg,1,1,1599,1282928
prop_19.jpg,4,3,2039,989474
prop_20.jpg,2,2,1090,205999
prop_21.jpg,5,3,3200,1186531
prop_22.jpg,4,3,1880,190640
prop_23.jpg,1,2,3875,316582
prop_24.jpg,1,1,2084,520573
prop_25.jpg,3,1,4227,181476
prop_26.jpg,3,2,4294,1475531
prop_27.jpg,2,1,1027,1335856
prop_28.jpg,4,2,2965,795510
prop_29.jpg,4,2,2716,818646
prop_30.jpg,3,3,1469,757144
prop_31.jpg,4,2,2795,534568
prop_32.jpg,4,3,3633,1354717
prop_33.jpg,1,1,4763,1018320
prop_34.jpg,3,1,4914,754736
prop_35.jpg,5,1,3801,1346607
prop_36.jpg,3,1,2586,1088021
prop_37.jpg,5,3,3909,1287756
prop_38.jpg,1,1,1054,186234
prop_39.jpg,2,2,3437,298352
prop_40.jpg,4,2,2309,1248035
prop_41.jpg,1,2,4957,529995
prop_42.jpg,4,3,1684,315004
prop_43.jpg,2,1,4075,586152
prop_44.jpg,2,1,3706,1227739
prop_45.jpg,1,1,1437,171934
prop_46.jpg,2,3,2741,545523
prop_47.jpg,5,2,3355,960530
prop_48.jpg,2,2,1424,125486
prop_49.jpg,4,1,3850,1307983
prop_50.jpg,4,2,3268,993332
prop_51.jpg,4,2,4747,1159458
prop_52.jpg,4,3,3601,340184
prop_53.jpg,5,3,1871,786490
prop_54.jpg,3,3,2066,442710
prop_55.jpg,1,3,3674,317775
prop_56.jpg,4,1,2882,409336
prop_57.jpg,2,3,1753,907494
prop_58.jpg,4,2,4636,1258356
prop_59.jpg,2,1,4669,1321193
prop_60.jpg,2,2,1474,665977
prop_61.jpg,4,2,4161,1032606
prop_62.jpg,5,2,2048,1009465
prop_63.jpg,2,3,2615,653636
prop_64.jpg,2,3,4754,1061218
